Date,Adj Close,log returns
1/4/1950,16.85,
1/5/1950,16.93,0.004736539
1/6/1950,16.98,0.002948985
1/9/1950,17.08,0.005872007
1/10/1950,17.030001,-0.002931635
1/11/1950,17.09,0.003516944
1/12/1950,16.76,-0.019498402
1/13/1950,16.67,-0.005384398
1/16/1950,16.719999,0.002994851
1/17/1950,16.860001,0.008338464
1/18/1950,16.85,-0.000593355
1/19/1950,16.870001,0.001186299
1/20/1950,16.9,0.001776666
1/23/1950,16.92,0.001182732
1/24/1950,16.860001,-0.003552342
1/25/1950,16.74,-0.007142947
1/26/1950,16.73,-0.00059755
1/27/1950,16.82,0.00536514
1/30/1950,17.02,0.011820469
1/31/1950,17.049999,0.001761022
2/1/1950,17.049999,0
2/2/1950,17.23,0.010501905
2/3/1950,17.290001,0.003476307
2/6/1950,17.32,0.001733546
2/7/1950,17.23,-0.005209853
2/8/1950,17.209999,-0.001161498
2/9/1950,17.280001,0.004059269
2/10/1950,17.24,-0.002317556
2/14/1950,17.059999,-0.010495782
2/15/1950,17.059999,0
2/16/1950,16.99,-0.004111548
2/17/1950,17.15,0.009373238
2/20/1950,17.200001,0.002911268
2/21/1950,17.17,-0.001745767
2/23/1950,17.209999,0.002326877
2/24/1950,17.280001,0.004059269
2/27/1950,17.280001,0
2/28/1950,17.219999,-0.00347838
3/1/1950,17.24,0.001160824
3/2/1950,17.23,-0.000580215
3/3/1950,17.290001,0.003476307
3/6/1950,17.32,0.001733546
3/7/1950,17.200001,-0.006952461
3/8/1950,17.190001,-0.000581564
3/9/1950,17.07,-0.007005341
3/10/1950,17.09,0.00117096
3/13/1950,17.120001,0.001753932
3/14/1950,17.25,0.007564714
3/15/1950,17.450001,0.011527562
3/16/1950,17.49,0.002289583
3/17/1950,17.450001,-0.002289583
3/20/1950,17.440001,-0.00057323
3/21/1950,17.450001,0.00057323
3/22/1950,17.549999,0.005714187
3/23/1950,17.559999,0.000569638
3/24/1950,17.559999,0
3/27/1950,17.459999,-0.005711038
3/28/1950,17.530001,0.004001263
3/29/1950,17.440001,-0.00514728
3/30/1950,17.299999,-0.008060032
3/31/1950,17.290001,-0.000578086
4/3/1950,17.530001,0.013785398
4/4/1950,17.549999,0.001140137
4/5/1950,17.629999,0.004548047
4/6/1950,17.780001,0.008472347
4/10/1950,17.85,0.003929222
4/11/1950,17.75,-0.005617992
4/12/1950,17.940001,0.010647396
4/13/1950,17.98,0.002227117
4/14/1950,17.959999,-0.001113022
4/17/1950,17.879999,-0.004464293
4/18/1950,18.030001,0.008354379
4/19/1950,18.049999,0.001108537
4/20/1950,17.93,-0.006670342
4/21/1950,17.959999,0.00167172
4/24/1950,17.83,-0.007264575
4/25/1950,17.83,0
